brand,carname,salesranking,launchedinput,movrating,heroimage,heroimagename,grayimage,grayname,bodytype,subbodytype,active,redimage,redname,blueimage,blueimagename,blackimage,blackimagename,greenimage,greenimagename,creamimage,creamimagename,brownimage,brownimagename,yellowimage,yellowimagename,purpleimage,purpleimagename,whiteimage,whitename,seater,fueltype,transmissiontype,NCAP,upcoming,itext,carbrowsher,pro,cons,asliheader1,aslisummary1,engineh1,engineh2,enginesummary1,engineauto1,engineimt1,enginemanual1,engineh2a,engineh21,enginesummary2,engineauto2,engineimt2,enginemanual2,engineh3,engineh31,enginesummary3,engineauto3,engineimt3,enginemanual3,engineh4,engineh41,enginesummary4,engineauto4,engineimt4,enginemanual4,standard,extended,Service,keyF1,keyF1text,keyF2,keyF2text,keyF3,keyF3text,keyF4,keyF4text,keyF5,keyF5text,keyF6,keyF6text,keyF7,keyF7text,keyF8,keyF8text,keyF9,keyF9text,keyF10,keyF10text,keyF11,keyF11text,keyF12,keyF12text,keyF13,keyF13text,keyF14,keyF14text,keyF15,keyF15text,keyF16,keyF16text,keyF17,keyF17text,keyF18,keyF18text,keyF19,keyF19text,keyF20,keyF20text,spaceC1,spaceC1text,spaceC2,spaceC2text,spaceC3,spaceC3text,spaceC4,spaceC4text,spaceC5,spaceC5text,spaceC6,spaceC6text,spaceC7,spaceC7text,spaceC8,spaceC8text,spaceC9,spaceC9text,spaceC10,spaceC10text,spaceC11,spaceC11text,spaceC12,spaceC12text,spaceC13,spaceC13text,spaceC14,spaceC14text,spaceC15,spaceC15text,spaceC16,spaceC16text,spaceC17,spaceC17text,spaceC18,spaceC18text,spaceC19,spaceC19text,spaceC20,spaceC20text,storageC1,storageC1text,storageC2,storageC2text,storageC3,storageC3text,storageC4,storageC4text,storageC5,storageC5text,storageC6,storageC6text,storageC7,storageC7text,storageC8,storageC8text,storageC9,storageC9text,storageC10,storageC10text,storageC11,storageC11text,storageC12,storageC12text,storageC13,storageC13text,storageC14,storageC14text,storageC15,storageC15text,storageC16,storageC16text,storageC17,storageC17text,storageC18,storageC18text,storageC19,storageC19text,storageC20,storageC20text,
662526a41dc6cd46bdca6ab6,Alto K10,Updated,2022,4.2,,,,,Hatchback,ENTRY LEVEL,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li><li>CNG</li></ul>,<ul><li>Manual</li><li>AMT</li></ul>,NA,false,<ul><li>DRIVING DYNAMICS- 3.5</li><li>MILEAGE- 3.8</li><li>RIDE & COMFORT4.1</li><li>RESALE- 4.8</li><li>SERVICE COST- 4.0</li></ul>,,<ul><li>The K10C Motor Makes The Car Fun To Drive</li><li> Has Decent Amount Of Features For The Segment</li><li> Amt Is Great For City Usage While Not Giving Up Of Fuel Efficiency </li></ul>,<ul><li>Substantially Smaller Than The Similarly-Priced Renault Kwid</li><li> Has Limited Boot Space</li><li> Has Become Quite Expensive Now At The Top-End</li></ul>,662526a41dc6cd46bdca6ab6 Alto K10,,1 Litre Petrol,An allrounder,"<pre class=""ql-syntax"" spellcheck=""false"">Great motor with good performance and fun to drive.</pre><p><br></p>","66 Bhp, 89 Nm, 5-Speed",,66 Bhp 89 Nm 5-Speed,1 Litre CNG,An allrounder,"<pre class=""ql-syntax"" spellcheck=""false"">Great motor with good performance and fun to drive.</pre><p><br></p>",,,"56 Bhp, 82 Nm, 5-Speed",,,,,,,,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab6,Baleno,Updated,2022,3.8,,,,,Hatchback,PREMIUM LEVEL,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li><li>CNG</li></ul>,<ul><li>Manual</li><li>AMT</li></ul>,NA,false,<ul><li>DRIVING DYNAMICS- 3.6</li><li>MILEAGE- 3.9</li><li>RIDE & COMFORT4.2</li><li>RESALE- 3.9</li><li>SERVICE COST- 3.7</li></ul>,,<ul><li>Looks Stylish And Premium</li><li> Great Fuel Economy And Has A CNG Option Too</li><li> Refined Engine</li><li> Loads Of New Features</li><li> Spacious Interior</li></ul>,<ul><li>Interior Fit And Finish Is Not That Great</li><li> Amt In This Segment Is Not Something Buyers Should Get</li><li> NVH Levels Could Be Better</li></ul>,662526a41dc6cd46bdca6ab6 Baleno,,1.2 Litre Petrol,Best for those seeking mileage,"<pre class=""ql-syntax"" spellcheck=""false"">engine is best used for sedate and smooth driving. Its does not like harsh acceleration and has bad NVH levels further up the rev range</pre><p><br></p>","88 Bhp, 113 Nm, 5-Speed",,"88 Bhp, 113 Nm, 5-Speed",1.2 Litre CNG,Best for those seeking mileage,"<pre class=""ql-syntax"" spellcheck=""false"">engine is best used for sedate and smooth driving. Its does not like harsh acceleration and has bad NVH levels further up the rev range</pre><p><br></p>",,,"76 Bhp, 98 Nm, 5-Speed",,,,,,,,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab6,Celerio,Launched,2021,4.2,,,,,Hatchback,ENTRY LEVEL,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li><li>CNG</li></ul>,<ul><li>Manual</li><li>AMT</li></ul>,NA,false,<ul><li>DRIVING DYNAMICS- 3.7</li><li>MILEAGE- 4.1</li><li>RIDE & COMFORT4.3</li><li>RESALE- 3.3</li><li>SERVICE COST- 3.9</li></ul>,,<ul><li> Spacious And Comfortable For 4 Adults</li><li> Ride Quality And Performance Makes The Celerio Great For Long Distance Driving</li><li> Fuel Efficiency Of 26Km/L Makes It Very Economical</li></ul>,<ul><li>Amt Gearbox Not The Best Calibrated By Maruti</li><li> More Expensive Than Rivals</li><li> Missing Features Like Rear Parking Camera</li><li> Adjustable Headrests</li><li> Front Centre Armrest</li></ul>,662526a41dc6cd46bdca6ab6 Celerio,,1 Litre Petrol,Best for enthusiasts,"<pre class=""ql-syntax"" spellcheck=""false"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</pre><p><br></p>","66 Bhp, 89 Nm, 5-Speed",,"66 Bhp, 89 Nm, 5-Speed",1 Litre CNG,Best for enthusiasts,"<pre class=""ql-syntax"" spellcheck=""false"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</pre><p><br></p>",,,"56 Bhp, 82 Nm, 5-Speed",,,,,,,,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab6,Ciaz,Updated,2021,3.8,,,,,Sedan,COMPACT,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li></ul>,<ul><li>Manual</li><li>AT</li></ul>,NA,false,<ul><li>DRIVING DYNAMICS- 3.8</li><li>MILEAGE- 4.5</li><li>RIDE & COMFORT4.4</li><li>RESALE- 3.5</li><li>SERVICE COST- 4.4</li></ul>,,<ul><li>One Of The Most Affordable C-Segment Sedans In The Country</li><li> Good Fuel Economy With A Claimed Mileage Of  Over 20 Kmpl. Really Comfortable For A Family Of 5</li><li> Great Boot Space Too</li></ul>,<ul><li>It Comes With A Aging 4-Speed Torque-Converter It Should Have Been At Least Equipped With A 6-Speed Torque-Converter</li><li> Low Ground Clearance Of 170 Mm Which Is Less Compared To Current Market Rival</li><li> Very Old And Dated Interior That Lacks In Features Compared To Rivals</li></ul>,662526a41dc6cd46bdca6ab6 Ciaz,,1.5 Litre Petrol,Best for city driving,"<pre class=""ql-syntax"" spellcheck=""false"">engine is suitable for individuals that drive a lot and have constant highway commuting</pre><p><br></p>","103 Bhp, 138 Nm, 4-Speed",,"103 Bhp, 138 Nm, 5-Speed",,,,,,,,,,,,,,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab6,Dzire,Updated,2020,4.2,,,,,Sedan,SUB-COMPACT,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li><li>CNG</li></ul>,<ul><li>Manual</li><li>AMT</li></ul>,NA,false,<ul><li>DRIVING DYNAMICS- 3.5</li><li>MILEAGE- 3.8</li><li>RIDE & COMFORT4.1</li><li>RESALE- 4.8</li><li>SERVICE COST- 4.0</li></ul>,,<ul><li>Phenomenal Fuel Efficiency With All 3 Powertrains(Mt</li><li> Amt</li><li> Cng)</li><li> Spacious And Comfortable Ride Quality Make It A Good Place To Be</li><li> 2Nd Row Is Good For 3 Adults</li><li> Peppy Engine Makes If Fun To Drive In The City And On The Highway</li></ul>,<ul><li>Dzire Has The Smallest Boot In Its Segment</li><li> Missing Key Features To Add Premiumness To Interior Like Front Armrest</li><li> Padded Door Armrest</li><li> Adjustable Rear Headrests</li><li> Looks Old And Lacks Modern Touches On The Inside</li></ul>,662526a41dc6cd46bdca6ab6 Dzire,,1.2 Litre Petrol,An allrounder,"<pre class=""ql-syntax"" spellcheck=""false"">Great motor with good performance and fun to drive.</pre><p><br></p>","89 Bhp, 113 Nm, 5-Speed",,"89 Bhp, 113 Nm, 5-Speed",1.2 Litre CNG,An allrounder,"<pre class=""ql-syntax"" spellcheck=""false"">Great motor with good performance and fun to drive.</pre><p><br></p>",,,"76 Bhp, 98 Nm, 5-Speed",,,,,,,,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab6,Ertiga,Updated,2022,3.8,,,,,MPV,MID-LEVEL,true,,,,,,,,,,,,,,,,,,,<ul><li>7</li></ul>,<ul><li>Petrol</li><li>CNG</li></ul>,<ul><li>Manual</li><li>AT</li></ul>,3,false,<ul><li>DRIVING DYNAMICS- 3.6</li><li>MILEAGE- 3.9</li><li>RIDE & COMFORT4.2</li><li>RESALE- 3.9</li><li>SERVICE COST- 3.7</li></ul>,,<ul><li>Incredible Mileage Figures Of 20Kmpl+ With Manual As Well As Automatic</li><li> Large Seats Add To Overall Comfort</li><li> Great For Doing Long Distance Driving</li><li> Overall Spacious In All Three Rows</li></ul>,<ul><li>Interior Plastic Quality Is Very Poor</li><li> Cab Image May Sway Some Buyers Away From Ertiga And Go For The More Premium Xl6</li><li> Not As Fun To Drive Like The Older Diesel Models</li></ul>,662526a41dc6cd46bdca6ab6 Ertiga,,1.5 Litre Petrol,Best for those seeking mileage,"<pre class=""ql-syntax"" spellcheck=""false"">engine is best used for sedate and smooth driving. Its does not like harsh acceleration and has bad NVH levels further up the rev range</pre><p><br></p>","102 Bhp, 137 Nm, 6-Speed",,"102 Bhp, 137 Nm, 5-Speed",1.5 Litre CNG,Best for those seeking mileage,"<pre class=""ql-syntax"" spellcheck=""false"">engine is best used for sedate and smooth driving. Its does not like harsh acceleration and has bad NVH levels further up the rev range</pre><p><br></p>",,,"87 Bhp, 121 Nm, 5-Speed",,,,,,,,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab6,Grand vitara,Launched,2022,4.2,,,,,SUV,COMPACT,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Hybrid</li><li>CNG</li></ul>,<ul><li>Manual</li><li>AT</li><li>CVT</li></ul>,NA,false,<ul><li>DRIVING DYNAMICS- 3.7</li><li>MILEAGE- 4.1</li><li>RIDE & COMFORT4.3</li><li>RESALE- 3.3</li><li>SERVICE COST- 3.9</li></ul>,,<ul><li>Good Road Presence</li><li> Hybrid Technology Gives Good Mileage In City Usage</li><li> Suspension Is Tuned Perfectly For Comfortable Ride In Bad Roads As Well</li><li> Maruti After Sales Is One Of The Best In The Market.</li></ul>,<ul><li>Engine Power Is Linear And Lacks Torque For Urgent Overtakes</li><li> Strong Hybrid Is Quite Expensive</li><li> No Diesel Or Turbo-Petrol Engine Option. 2Nd Row Head Room Is Bad</li></ul>,662526a41dc6cd46bdca6ab6 Grand vitara,,1.5 Litre Petrol,Best for enthusiasts,"<pre class=""ql-syntax"" spellcheck=""false"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</pre><p><br></p>","102 Bhp, 137 Nm, 6-Speed",,"102 Bhp, 137 Nm, 5-Speed",1.5 Litre CNG,Best for enthusiasts,"<pre class=""ql-syntax"" spellcheck=""false"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</pre><p><br></p>",,,"87 Bhp, 121 Nm, 5-Speed",1.5 Litre Hybrid (Petrol+Electric),Best for enthusiasts,"<pre class=""ql-syntax"" spellcheck=""false"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</pre><p><br></p>","114 Bhp, 141 Nm, NA",,,,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab6,Ignis,Launched,2020,3.8,,,,,Hatchback,MID-LEVEL,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li></ul>,<ul><li>Manual</li><li>AMT</li></ul>,1,false,<ul><li>DRIVING DYNAMICS- 3.8</li><li>MILEAGE- 4.5</li><li>RIDE & COMFORT4.4</li><li>RESALE- 3.5</li><li>SERVICE COST- 4.4</li></ul>,,<ul><li>Suv-Like Ground Clearance Of 180Mm</li><li> Lots Of Storage  Space To Store Your Valuables In The Center Console/Door Pads</li><li> Comfortable Seats And Good Ride Quality</li><li> Engine Is Refined And Smooth</li></ul>,<ul><li>With New Competition It Feels Small In Terms Of Dimensions And Boot Space</li><li> Missing Features Like Front And Rear Armrest</li><li> Rear Ac Vents</li><li> Cruise Control And Drive Modes</li><li> Overall Needs To Be Updated Or Replaced</li></ul>,662526a41dc6cd46bdca6ab6 Ignis,,1.2 Litre Petrol,Best for city driving,"<pre class=""ql-syntax"" spellcheck=""false"">engine is suitable for individuals that drive a lot and have constant highway commuting</pre><p><br></p>","82 Bhp, 113 Nm, 5-Speed",,"82 Bhp, 113 Nm, 5-Speed",,,,,,,,,,,,,,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab6,S-Presso,Launched,2022,4.2,,,,,Hatchback,ENTRY LEVEL,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li><li>CNG</li></ul>,<ul><li>Manual</li><li>AMT</li></ul>,1,false,<ul><li>DRIVING DYNAMICS- 3.5</li><li>MILEAGE- 3.8</li><li>RIDE & COMFORT4.1</li><li>RESALE- 4.8</li><li>SERVICE COST- 4.0</li></ul>,,<ul><li>Good Fuel Economy</li><li> Good Ground Clearance Of 180Mm And Goes Well Over Bad Roads</li><li> K10 Engine Are Proven To Be Reliable</li><li> A Great City Car With The Amt Gearbox</li></ul>,<ul><li>Features Are Quite Less Compared To The Rivals In This Segment</li><li>Very Poor Safety Rating With 1-Star Rating In G-Ncap</li><li> Severely Underpowered And Is Not Confidence Inspiring For Highway Usage And Expressway Speeds</li></ul>,662526a41dc6cd46bdca6ab6 S-Presso,,1 Litre Petrol,An allrounder,"<pre class=""ql-syntax"" spellcheck=""false"">Great motor with good performance and fun to drive.</pre><p><br></p>","66 Bhp, 89 Nm, 5-Speed",,"66 Bhp, 89 Nm, 5-Speed",1 Litre CNG,An allrounder,"<pre class=""ql-syntax"" spellcheck=""false"">Great motor with good performance and fun to drive.</pre><p><br></p>",,,"56 Bhp, 82 Nm, 5-Speed",,,,,,,,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab6,Swift,Updated,2021,3.8,,,,,Hatchback,MID-LEVEL,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li><li>CNG</li></ul>,<ul><li>Manual</li><li>AMT</li></ul>,1,false,<ul><li>DRIVING DYNAMICS- 3.6</li><li>MILEAGE- 3.9</li><li>RIDE & COMFORT4.2</li><li>RESALE- 3.9</li><li>SERVICE COST- 3.7</li></ul>,,<ul><li>Great Mileage Figures With All 3 Powertrain Options(Manual</li><li> Amt</li><li> Cng)</li><li> Big Boot Space</li><li> Fun To Drive</li></ul>,<ul><li>Safety Is A Major Shortfall Recently Got 1-Star Rating In G-Ncap</li><li> Internal Plastic Quality Is Not Upto The Mark</li><li> Lacks Features And Is Looking Old Now</li></ul>,662526a41dc6cd46bdca6ab6 Swift,,1.2 Litre Petrol,An allrounder,"<pre class=""ql-syntax"" spellcheck=""false"">Great motor with good performance and fun to drive.</pre><p><br></p>","89 Bhp, 113 Nm, 5-Speed",,"89 Bhp, 113 Nm, 5-Speed",1.2 Litre CNG,An allrounder,"<pre class=""ql-syntax"" spellcheck=""false"">Great motor with good performance and fun to drive.</pre><p><br></p>",,,"76 Bhp, 98 Nm, 5-Speed",,,,,,,,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
