image,name,selling,rating,iButtonData,doYouKnow,salesRanking,salesMonthAndYear
,Maruti Suzuki,1983,4.5,"Maruti Suzuki

Maruti Suzuki is India’s largest car manufacturer. The company made its debut in 1983 with the Maruti 800 and since then has been known for producing the most fuel efficient cars. Currently the company offers 17 models split between hatchback, sedan, SUV and MPV categories.",Maruti Udyog Limited took just 13 months to go from design to rolling out the first Maruti 800 in 1983,1,MAR 24
,Hyundai,1996,4.2,"Hyundai 

Hyundai cars is a Korean automobile manufacturer that entered the Indian automobile market in 1996. The company has 13 products on sale in the country under hatchback, sedan, MPV and SUV categories. As the second largest car manufacturer Hyundai offers affordable cars that are high on features and interior quality.","Hyundai names its cars after picturesque cities and villages. For example the Santro is named after a party spot in Saint Tropez, while the Creta derives its name from Crete island in Greece.",2,MAR 24
,Tata,1945,4.8,"Tata Motors

Tata Motors is a premier Indian car manufacturer that was established in 1945. The company is now the third largest auto company by sales and the largest auto brand by market capitalisation. Tata’s portfolio in India consists of hatchbacks and SUVs which offer contemporary design and a long list of advanced features.","The Tata Nano created history in 2008, becoming the cheapest car to ever go on sale at Rs 1 lakh (ex-showroom).",3,MAR 24
,Mahindra,1954,4.6,"Mahindra

Mahindra cars is a premier Indian SUV manufacturer that started sales in 1954. The company started its journey assembling Jeeps in India after Independence. Today the brand offers 6 SUVs with petrol, diesel and electric powertrain options.","Before being Mahindra and Mahindra - the brand was called Muhammad and Mahindra. The company was formed by J.C. Mahindra; K.C. Mahindra and Malik Ghulam Muhammad in Ludhiana, Punjab. ",4,MAR 24
,Kia,2019,3.9,"Kia India

Kia cars is a South-Korean automobile manufacturer and subsidiary of Hyundai cars globally. The company entered India in 2019 and soon became popular for its premium cabins and feature rich cars. The brand currently sells 3 products in the country under the SUV and MPV segments.","Before making cars, Kia was actually a bicycle manufacturer. The company's first car was made in 1974 called Brisa.",6,MAR 24
,Toyota,1997,4.5,"Toyota India

Toyota started its India journey in 1997 through a partnership with the Kirloskar Group. The comany is well known for its large capacity diesel engines and reliable engines. Currently, the brand is in partnership with Maruti to jointly develop products. Toyota cars India portfolio majorly consists of SUVs and MPVs.",Toyota cars are known for their durability and it's understood that approximately 80 percent of their cars made in the last 20 years are still on sale.,5,MAR 24
,Mercedes-Benz,1994,4.2,"Mercedes Benz India

German manufacturer, Mercedes Benz is the market leader in the India luxury cars segment. Starting operations in 1994, Mercedes is the oldest luxury car manufacturer in India. The company’s portfolio consists of hatchbacks, SUVs, sedans and coupes which are either manufactured or assembled in India.",Mercedes Benz introduced the first petrol car to the world with the Benz Patent MotorWagen in 1885.,15,MAR 24
,Honda,1997,4.8,"Honda Cars India

Honda cars is a premier Japanese manufacturer that is known for its reliable, feature rich and economical vehicles. A subsidiary to Honda Motor Company Limited, the brand started its India operations in 1997. Currently, there are 3 models from the company on sale under the sedan and compact SUV category.",Honda’s first product in India was a moped called the M80 scooter launched with Atlas Cycles in 1958.,7,MAR 24
,Skoda,2002,4.6,"Skoda India

Skoda cars is the Czech auto manufacturer operating as part of the Volkswagen Group globally. The brand made its India entry in 2022 with the Skoda Octavia and since then has become famous for their simply clever interior elements and affordable luxury experience.","Skoda’s most expensive car ever made was not drivable. It was an exact replica ‘cake’ of the Fabia hatchback. The cake cost 500,000 euros to put together.",11,MAR 24
,Bmw,2007,3.9,"BMW India

BMW is the second largest luxury car manufacturer in the country that started operations in January 2007. Known for its driver focused luxury cars, the BMW 3-Series and 5-Series sedans are really famous with enthusiasts. ",BMW made its first electric car in 1972. The 1602e was never sold to the public as it could hold charge for only 20 minutes,16,MAR 24
